Time,Ex,Ey
1.819999999999999951e-01,9.838431874048733095e-01,2.279029424001096871e+00
1.829999999999999960e-01,9.836636659654760528e-01,2.280013177457234530e+00
1.839999999999999969e-01,9.834831608624193811e-01,2.280996750899820125e+00
1.849999999999999978e-01,9.833016722762061290e-01,2.281980143345278655e+00
1.859999999999999987e-01,9.831192003883251207e-01,2.282963353810218088e+00
1.869999999999999996e-01,9.829357453812480605e-01,2.283946381311426244e+00
1.880000000000000004e-01,9.827513074384300884e-01,2.284929224865875241e+00
1.890000000000000013e-01,9.825658867443068933e-01,2.285911883490721053e+00
1.900000000000000022e-01,9.823794834843019297e-01,2.286894356203302614e+00
1.910000000000000031e-01,9.821920978448145378e-01,2.287876642021147156e+00
1.920000000000000040e-01,9.820037300132327118e-01,2.288858739961968869e+00
1.930000000000000049e-01,9.818143801779227742e-01,2.289840649043667131e+00
1.940000000000000058e-01,9.816240485282335948e-01,2.290822368284333166e+00
1.950000000000000067e-01,9.814327352544971461e-01,2.291803896702247378e+00
1.960000000000000075e-01,9.812404405480266156e-01,2.292785233315878024e+00
1.970000000000000084e-01,9.810471646011159619e-01,2.293766377143890089e+00
1.980000000000000093e-01,9.808529076070403585e-01,2.294747327205137744e+00
1.990000000000000102e-01,9.806576697600566384e-01,2.295728082518669222e+00
2.000000000000000111e-01,9.804614512554031824e-01,2.296708642103729936e+00
2.010000000000000120e-01,9.802642522892970334e-01,2.297689004979758032e+00
2.020000000000000129e-01,9.800660730589361158e-01,2.298669170166390607e+00
2.030000000000000138e-01,9.798669137625011238e-01,2.299649136683460604e+00
2.040000000000000147e-01,9.796667745991494147e-01,2.300628903550999915e+00
2.050000000000000155e-01,9.794656557690202270e-01,2.301608469789243383e+00
2.060000000000000164e-01,9.792635574732327930e-01,2.302587834418620805e+00
2.070000000000000173e-01,9.790604799138837855e-01,2.303566996459768035e+00
2.080000000000000182e-01,9.788564232940505372e-01,2.304545954933522545e+00
2.089999999999999913e-01,9.786513878177901526e-01,2.305524708860922978e+00
2.099999999999999922e-01,9.784453736901370657e-01,2.306503257263216256e+00
2.109999999999999931e-01,9.782383811171042609e-01,2.307481599161852248e+00
2.119999999999999940e-01,9.780304103056852716e-01,2.308459733578487327e+00
2.129999999999999949e-01,9.778214614638504054e-01,2.309437659534986587e+00
2.139999999999999958e-01,9.776115348005459671e-01,2.310415376053424286e+00
2.149999999999999967e-01,9.774006305257014748e-01,2.311392882156081185e+00
2.159999999999999976e-01,9.771887488502180030e-01,2.312370176865450322e+00
2.169999999999999984e-01,9.769758899859783963e-01,2.313347259204236117e+00
2.179999999999999993e-01,9.767620541458410521e-01,2.314324128195355712e+00
2.190000000000000002e-01,9.765472415436400322e-01,2.315300782861938966e+00
2.200000000000000011e-01,9.763314523941888368e-01,2.316277222227328902e+00
2.210000000000000020e-01,9.761146869132755199e-01,2.317253445315086147e+00
2.220000000000000029e-01,9.758969453176655762e-01,2.318229451148986708e+00
2.230000000000000038e-01,9.756782278251002749e-01,2.319205238753023313e+00
2.240000000000000047e-01,9.754585346542958835e-01,2.320180807151406288e+00
2.250000000000000056e-01,9.752378660249456654e-01,2.321156155368568008e+00
2.260000000000000064e-01,9.750162221577177712e-01,2.322131282429158006e+00
2.270000000000000073e-01,9.747936032742559043e-01,2.323106187358047414e+00
2.280000000000000082e-01,9.745700095971776555e-01,2.324080869180331632e+00
2.290000000000000091e-01,9.743454413500775013e-01,2.325055326921326770e+00
2.300000000000000100e-01,9.741198987575223622e-01,2.326029559606574093e+00
2.310000000000000109e-01,9.738933820450539347e-01,2.327003566261840461e+00
2.320000000000000118e-01,9.736658914391905784e-01,2.327977345913116558e+00
2.330000000000000127e-01,9.734374271674202106e-01,2.328950897586623103e+00
2.340000000000000135e-01,9.732079894582068569e-01,2.329924220308806415e+00
2.350000000000000144e-01,9.729775785409889854e-01,2.330897313106342850e+00
2.360000000000000153e-01,9.727461946461768427e-01,2.331870175006137913e+00
2.370000000000000162e-01,9.725138380051527864e-01,2.332842805035329370e+00
2.380000000000000171e-01,9.722805088502732840e-01,2.333815202221285023e+00
2.390000000000000180e-01,9.720462074148688014e-01,2.334787365591607156e+00
2.399999999999999911e-01,9.718109339332378083e-01,2.335759294174131195e+00
2.409999999999999920e-01,9.715746886406553262e-01,2.336730986996926607e+00
2.419999999999999929e-01,9.713374717733642694e-01,2.337702443088300441e+00
2.429999999999999938e-01,9.710992835685828828e-01,2.338673661476793786e+00
2.439999999999999947e-01,9.708601242644978591e-01,2.339644641191188867e+00
2.449999999999999956e-01,9.706199941002682241e-01,2.340615381260503725e+00
2.459999999999999964e-01,9.703788933160235608e-01,2.341585880713996204e+00
2.469999999999999973e-01,9.701368221528648972e-01,2.342556138581167513e+00
2.479999999999999982e-01,9.698937808528617088e-01,2.343526153891756891e+00
2.489999999999999991e-01,9.696497696590558046e-01,2.344495925675747827e+00
2.500000000000000000e-01,9.694047888154572190e-01,2.345465452963368502e+00
2.510000000000000009e-01,9.691588385670469874e-01,2.346434734785089127e+00
2.520000000000000018e-01,9.689119191597745928e-01,2.347403770171626824e+00
2.530000000000000027e-01,9.686640308405589650e-01,2.348372558153945189e+00
2.540000000000000036e-01,9.684151738572870372e-01,2.349341097763254727e+00
2.550000000000000044e-01,9.681653484588171876e-01,2.350309388031013746e+00
2.560000000000000053e-01,9.679145548949722455e-01,2.351277427988932800e+00
2.570000000000000062e-01,9.676627934165473732e-01,2.352245216668967576e+00
2.580000000000000071e-01,9.674100642753018509e-01,2.353212753103330002e+00
2.590000000000000080e-01,9.671563677239647383e-01,2.354180036324482028e+00
2.600000000000000089e-01,9.669017040162332099e-01,2.355147065365138737e+00
2.610000000000000098e-01,9.666460734067690019e-01,2.356113839258269671e+00
2.620000000000000107e-01,9.663894761512027420e-01,2.357080357037099727e+00
2.630000000000000115e-01,9.661319125061313962e-01,2.358046617735110040e+00
2.640000000000000124e-01,9.658733827291177132e-01,2.359012620386037096e+00
2.650000000000000133e-01,9.656138870786913353e-01,2.359978364023878505e+00
2.660000000000000142e-01,9.653534258143472435e-01,2.360943847682888119e+00
2.670000000000000151e-01,9.650919991965456468e-01,2.361909070397581800e+00
2.680000000000000160e-01,9.648296074867139804e-01,2.362874031202733871e+00
2.690000000000000169e-01,9.645662509472419099e-01,2.363838729133383776e+00
2.700000000000000178e-01,9.643019298414867713e-01,2.364803163224830751e+00
2.710000000000000187e-01,9.640366444337684637e-01,2.365767332512640042e+00
2.720000000000000195e-01,9.637703949893714483e-01,2.366731236032641128e+00
2.730000000000000204e-01,9.635031817745455252e-01,2.367694872820927277e+00
2.740000000000000213e-01,9.632350050565032795e-01,2.368658241913862206e+00
2.750000000000000222e-01,9.629658651034200822e-01,2.369621342348073867e+00
2.760000000000000231e-01,9.626957621844364210e-01,2.370584173160461550e+00
2.770000000000000240e-01,9.624246965696534595e-01,2.371546733388191441e+00
2.780000000000000249e-01,9.621526685301378112e-01,2.372509022068703732e+00
2.790000000000000258e-01,9.618796783379148785e-01,2.373471038239705511e+00
2.800000000000000266e-01,9.616057262659768456e-01,2.374432780939181864e+00
2.810000000000000275e-01,9.613308125882731314e-01,2.375394249205386998e+00
2.820000000000000284e-01,9.610549375797181604e-01,2.376355442076850455e+00
2.830000000000000293e-01,9.607781015161858118e-01,2.377316358592379331e+00
2.840000000000000302e-01,9.605003046745115292e-01,2.378276997791054281e+00
2.850000000000000311e-01,9.602215473324917649e-01,2.379237358712235295e+00
2.860000000000000320e-01,9.599418297688829815e-01,2.380197440395559916e+00
2.870000000000000329e-01,9.596611522634029834e-01,2.381157241880943243e+00
2.880000000000000338e-01,9.593795150967286967e-01,2.382116762208583705e+00
2.889999999999999791e-01,9.590969185504951700e-01,2.383076000418959950e+00
2.899999999999999800e-01,9.588133629073001263e-01,2.384034955552829516e+00
2.909999999999999809e-01,9.585288484506978568e-01,2.384993626651238152e+00
2.919999999999999818e-01,9.582433754652017743e-01,2.385952012755511831e+00
2.929999999999999827e-01,9.579569442362855236e-01,2.386910112907262516e+00
2.939999999999999836e-01,9.576695550503795396e-01,2.387867926148389497e+00
2.949999999999999845e-01,9.573812081948711583e-01,2.388825451521076282e+00
2.959999999999999853e-01,9.570919039581078369e-01,2.389782688067797700e+00
2.969999999999999862e-01,9.568016426293928234e-01,2.390739634831314131e+00
2.979999999999999871e-01,9.565104244989866000e-01,2.391696290854676388e+00
2.989999999999999880e-01,9.562182498581077716e-01,2.392652655181227939e+00
2.999999999999999889e-01,9.559251189989290687e-01,2.393608726854602686e+00
3.009999999999999898e-01,9.556310322145817882e-01,2.394564504918726744e+00
3.019999999999999907e-01,9.553359897991505756e-01,2.395519988417820212e+00
3.029999999999999916e-01,9.550399920476795312e-01,2.396475176396398510e+00
3.039999999999999925e-01,9.547430392561642165e-01,2.397430067899270156e+00
3.049999999999999933e-01,9.544451317215569830e-01,2.398384661971543430e+00
3.059999999999999942e-01,9.541462697417646410e-01,2.399338957658622373e+00
3.069999999999999951e-01,9.538464536156499030e-01,2.400292954006209012e+00
3.079999999999999960e-01,9.535456836430266092e-01,2.401246650060303800e+00
3.089999999999999969e-01,9.532439601246646133e-01,2.402200044867211837e+00
3.099999999999999978e-01,9.529412833622872281e-01,2.403153137473533540e+00
3.109999999999999987e-01,9.526376536585701160e-01,2.404105926926175307e+00
3.119999999999999996e-01,9.523330713171431761e-01,2.405058412272347290e+00
3.130000000000000004e-01,9.520275366425865471e-01,2.406010592559559846e+00
3.140000000000000013e-01,9.517210499404361590e-01,2.406962466835632419e+00
3.150000000000000022e-01,9.514136115171765162e-01,2.407914034148688209e+00
3.160000000000000031e-01,9.511052216802460268e-01,2.408865293547157727e+00
3.170000000000000040e-01,9.507958807380341160e-01,2.409816244079780123e+00
3.180000000000000049e-01,9.504855889998811147e-01,2.410766884795602305e+00
3.190000000000000058e-01,9.501743467760779271e-01,2.411717214743982041e+00
3.200000000000000067e-01,9.498621543778651422e-01,2.412667232974587517e+00
3.210000000000000075e-01,9.495490121174360310e-01,2.413616938537397782e+00
3.220000000000000084e-01,9.492349203079311071e-01,2.414566330482705858e+00
3.230000000000000093e-01,9.489198792634433444e-01,2.415515407861117403e+00
3.240000000000000102e-01,9.486038892990105165e-01,2.416464169723552935e+00
3.250000000000000111e-01,9.482869507306237455e-01,2.417412615121249164e+00
3.260000000000000120e-01,9.479690638752198417e-01,2.418360743105757660e+00
3.270000000000000129e-01,9.476502290506855219e-01,2.419308552728948847e+00
3.280000000000000138e-01,9.473304465758561888e-01,2.420256043043011562e+00
3.290000000000000147e-01,9.470097167705110452e-01,2.421203213100451723e+00
3.300000000000000155e-01,9.466880399553813108e-01,2.422150061954099431e+00
3.310000000000000164e-01,9.463654164521420054e-01,2.423096588657101869e+00
3.320000000000000173e-01,9.460418465834163904e-01,2.424042792262930401e+00
3.330000000000000182e-01,9.457173306727730822e-01,2.424988671825380138e+00
3.340000000000000191e-01,9.453918690447283835e-01,2.425934226398568150e+00
3.350000000000000200e-01,9.450654620247419535e-01,2.426879455036939248e+00
3.360000000000000209e-01,9.447381099392214709e-01,2.427824356795260652e+00
3.370000000000000218e-01,9.444098131155179709e-01,2.428768930728629982e+00
3.380000000000000226e-01,9.440805718819268444e-01,2.429713175892469490e+00
3.390000000000000235e-01,9.437503865676878378e-01,2.430657091342533604e+00
3.400000000000000244e-01,9.434192575029880512e-01,2.431600676134903161e+00
3.410000000000000253e-01,9.430871850189537220e-01,2.432543929325992504e+00
3.420000000000000262e-01,9.427541694476578860e-01,2.433486849972543720e+00
3.430000000000000271e-01,9.424202111221146039e-01,2.434429437131635954e+00
3.440000000000000280e-01,9.420853103762816261e-01,2.435371689860679645e+00
3.450000000000000289e-01,9.417494675450595043e-01,2.436313607217418298e+00
3.460000000000000298e-01,9.414126829642894823e-01,2.437255188259933369e+00
3.470000000000000306e-01,9.410749569707560491e-01,2.438196432046641604e+00
3.480000000000000315e-01,9.407362899021836089e-01,2.439137337636296365e+00
3.490000000000000324e-01,9.403966820972403662e-01,2.440077904087988969e+00
3.500000000000000333e-01,9.400561338955308877e-01,2.441018130461151792e+00
3.510000000000000342e-01,9.397146456376042067e-01,2.441958015815555161e+00
3.519999999999999796e-01,9.393722176649477174e-01,2.442897559211311354e+00
3.529999999999999805e-01,9.390288503199879511e-01,2.443836759708874595e+00
3.539999999999999813e-01,9.386845439460925755e-01,2.444775616369042837e+00
3.549999999999999822e-01,9.383392988875660645e-01,2.445714128252955533e+00
3.559999999999999831e-01,9.379931154896532508e-01,2.446652294422098528e+00
3.569999999999999840e-01,9.376459940985363284e-01,2.447590113938304057e+00
3.579999999999999849e-01,9.372979350613370730e-01,2.448527585863749412e+00
3.589999999999999858e-01,9.369489387261121793e-01,2.449464709260959605e+00
3.599999999999999867e-01,9.365990054418580346e-01,2.450401483192809593e+00
3.609999999999999876e-01,9.362481355585071663e-01,2.451337906722521609e+00
3.619999999999999885e-01,9.358963294269287969e-01,2.452273978913671382e+00
3.629999999999999893e-01,9.355435873989276230e-01,2.453209698830182361e+00
3.639999999999999902e-01,9.351899098272448141e-01,2.454145065536332826e+00
3.649999999999999911e-01,9.348352970655584571e-01,2.455080078096753216e+00
3.659999999999999920e-01,9.344797494684786709e-01,2.456014735576428354e+00
3.669999999999999929e-01,9.341232673915540463e-01,2.456949037040697892e+00
3.679999999999999938e-01,9.337658511912643178e-01,2.457882981555257640e+00
3.689999999999999947e-01,9.334075012250253600e-01,2.458816568186160900e+00
3.699999999999999956e-01,9.330482178511871894e-01,2.459749795999817135e+00
3.709999999999999964e-01,9.326880014290305221e-01,2.460682664062996849e+00
3.719999999999999973e-01,9.323268523187732137e-01,2.461615171442828487e+00
3.729999999999999982e-01,9.319647708815608222e-01,2.462547317206802422e+00
3.739999999999999991e-01,9.316017574794769329e-01,2.463479100422770074e+00
3.750000000000000000e-01,9.312378124755315012e-01,2.464410520158944351e+00
3.760000000000000009e-01,9.308729362336705115e-01,2.465341575483904091e+00
3.770000000000000018e-01,9.305071291187678728e-01,2.466272265466590508e+00
3.780000000000000027e-01,9.301403914966310804e-01,2.467202589176310301e+00
3.790000000000000036e-01,9.297727237339964423e-01,2.468132545682736989e+00
3.800000000000000044e-01,9.294041261985301894e-01,2.469062134055911351e+00
3.810000000000000053e-01,9.290345992588300295e-01,2.469991353366242315e+00
3.820000000000000062e-01,9.286641432844213728e-01,2.470920202684506961e+00
3.830000000000000071e-01,9.282927586457594415e-01,2.471848681081853183e+00
3.840000000000000080e-01,9.279204457142282703e-01,2.472776787629800577e+00
3.850000000000000089e-01,9.275472048621391519e-01,2.473704521400237777e+00
3.860000000000000098e-01,9.271730364627330800e-01,2.474631881465428229e+00
3.870000000000000107e-01,9.267979408901768634e-01,2.475558866898011079e+00
